42402,ETISALAT
42403,du
42501,Orange IL
42502,Cellcom IL
42503,IL Pelephone
42505,JAWWAL-PALESTINE
42506,PS, Wataniya Mobile
42601,BATELCO
42602,Zain BH
42604,VIVA BH
42701,Ooredoo
42702,vodafone
42702,vodafone
42801,Skytel MN
42806,GMOBILE_MN
42888,MONGOLIA UNITEL LLC
42899,MN MobiCom
42902,Ncell
43211,IR-TCI
43214,IR KISH
43219,IR MTCE
43220,IRN 20
43232,Iran Taliya
43235,MTN Irancell
43404,Beeline UZ
43405,UZB Ucell
43407,UMS-UZB
43601,TCELL
43602,TCELL
43603,MegaFon TJK
43604,Babilon-M
43605,BEELINE TJ
43612,INDIGO-3G
43701,Beeline KG
43801,MTS TM
43802,TM CELL
44000,Ymobile
44010,JP DOCOMO
44020,SoftBank
44050,KDDI
44051,KDDI
45005,KOR SK Telecom
45006,KOR LG Uplus
45008,KT
45201,VN Mobifone
45202,VN VINAPHONE
45204,VNM and VIETTEL
45204,VIETTEL
45205,VN Vietnamobile
45207,Gmobile
45400,CSL
45402,CSL
45403,3
45404,3(2G)
45406,SmarTone HK
45410,CSL
45412,China Mobile HK
45413,China Mobile HK
45415,SmarTone HK
45416,PCCW-HKT
45417,SmarTone HK
45418,CSL
45419,PCCW-HKT
45420,PCCW-HKT
45500,SmarTone MAC
45501,CTM
45503,3 Macau
45504,CTM
45505,3 Macau
45507,CHN-CT
45601,Cellcard
45604,CADCOMMS
45605,SMART
45606,SMART
45608,Metfone
45611,KH SEATEL
45701,LAO GSM
45702,ETL MOBILE NETWORK
45703,Unitel
45708,BEELINE LAO
46000,CHINA MOBILE
46001,CHN-UNICOM
46002,CHINA MOBILE
46004,CHINA MOBILE
46007,CHINA MOBILE
46008,CHINA MOBILE
46009,CHN-UNICOM
46011,CHN-CT
46601,Far EasTone
46688,KGT-Online
46689,T Star
46692,Chunghwa Telecom
46693,TWN MOBITAI
46697,TW Mobile
46699,TWM TransAsi
46703,KP SUN
46705,Koryolink
47001,Grameenphone
47002,robi axiata
47003,BGD BL
47004,BGD bMobile
47007,Airtel
47009,BGD-BIEL
47201,DHIRAAGU
47202,Ooredoo Maldives PVT LTD
50200,TIME3G
50201,TIME3G
50212,MY MAXIS
50213,MY CELCOM 3G
50216,Digi
50218,U MOBILE
50219,MY CELCOM
502152,YES
502156,MYSALTEL
50501,Telstra Mobile
50502,Optus AU
50503,vodafone AU
50506,3TELSTRA
50510,Norfolk Telecom
51001,IND INDOSAT
51008,AXIS
51009,Smartfren
51010,IND TELKOMSEL
51021,IND INDOSAT
51028,Smartfren
51088,BoltSuper4G
51089,3
51401,TLS-TC
51402,TLS-TT
51501,ISLACOM
51502,Globe Telecom-PH
51503,SMART
51505,PH Sun Cellular
51518,CURE
52000,TH 3G+
52001,TH GSM
52003,AIS 3G
52004,TRUE 3G+
52005,dtac TriNet
520015,TH ACT 1900
52015,TOT3G
52018,TH-DTAC
52023,TH GSM 1800
52099,TRUE
52501,Singtel
52502,Singtel
52503,SGP-M1
52505,StarHub
52507,SGP Call Zone
52508,StarHub
52802,PCSB
52811,BRU-DSTCom
53001,vodafone NZ
53005,Spark NZ
53024,2degrees
53701,bmobile
53703,DIGICEL
53901,U-CALL
53988,Digicel Tonga
54002,bmobile
54101,VUT SMILE
54105,Digicel
54201,FJ VODAFONE
54202,DIGICEL
544011,Blue Sky
544110,Bluesky Communications
544544,Blue Sky Communications
54601,NCL MOBILIS
54715,Vodafone PF
54720,F-VINI
54801,CK KOKANET
54900,DIGICEL
54927,Bluesky
55001,FSM Telecom
55101,MH-NTA
55201,PalauCel
60201,EGY MobiNiL
60202,vodafone EG
60203,Etisalat
60301,ALG Mobilis
60302,Djezzy
60303,ooredoo Algeria
60400,MOR MEDITEL
60401,MOR IAM
60402,inwi
60501,Orange
60502,TUNISIE TELECOM
60503,TUNISIANA
60600,Libyana
60601,Al Madar
60691,Almadar
606218,Almadar
60701,GAMCEL
60702,AFRICELL
60703,GM COMIUM
60704,Qcell
60801,SN ALIZE
60802,SN-SENTEL SG
60803,SEN expresso
60901,MR MATTEL
60902,MR Expresso
60910,MAURITEL
61001,MALITEL ML
61002,ORANGE ML
61101,Orange GN
61102,GN LAGUI
61104,GNMTN
61202,MOOV CI
61203,Orange CI
61204,KoZ
61205,MTN CI
61302,Airtel
61401,SAHELCOM
61402,Airtel
61403,ETISALAT NER
61404,Orange NE
61501,TG-TOGO CELL
61503,ETISALAT TOGO
61602,ETISALAT BENIN
61603,MTN BENIN
61604,BELL BENIN COMMUNICATION
61605,GloBenin
61701,CELLPLUS-MRU
61703,MTML
61710,EMTEL-MRU
61801,LBR Lonestar Cell
61807,Celcom GSM
61807,Celcom
61901,Airtel
61902,MILLICOM SL
61905,Africell
61907,GreenN SL
62001,GH MTN
62002,Tigo Ghana
62006,Airtel
620620,Glo Ghana
62120,Airtel
